"","(1,R1)","(2,R1)","(3,R1)","(4,R1)","(5,R1)","(6,R1)"
"(1,R1)",NA,0.00246519094967206,0.00688378628491394,0.00102019555151978,NA,NA
"(2,R1)",0.00442890173561439,NA,0.0014579164471826,NA,0.00102019555151978,NA
"(3,R1)",0.0102862189892299,0.0137611560142086,NA,NA,NA,0.00102019555151978
"(4,R1)",0.000665384799981499,NA,NA,NA,0.00246519094967206,0.00688378628491394
"(5,R1)",NA,0.000665384799981499,NA,0.00442890173561439,NA,0.0014579164471826
"(6,R1)",NA,NA,0.000665384799981499,0.0102862189892299,0.0137611560142086,NA
