"","(1,R1)","(2,R1)","(3,R1)","(4,R1)"
"1",6.78717614290071e-06,8.85901169572635e-05,0.0711545545047633,0.928750068202137
"2",3.44558633780898e-06,3.99186578481181e-05,0.0794534065390168,0.920503229216797
"3",0.00362153385462356,0.00287407895548856,0.553913830474003,0.439590556715884
"4",0.000397677485456068,0.000147638860436344,0.728862482147697,0.270592201506411
"5",0.000279047123492955,8.56557671833104e-05,0.764856438848445,0.234778858260879
"6",0.00188810957941393,0.000173662977346336,0.913881951101179,0.0840562763420605
"7",3.60142123051646e-07,5.81766762053667e-06,0.0582957250400765,0.94169809715018
"8",0.000120570818698167,0.00024626495651368,0.32855734678227,0.671075817442518
"9",0.000757303600078322,0.000761091380135596,0.497995399054161,0.500486205965625
"10",0.00245370166990129,0.000369336844430461,0.866716753300711,0.130460208184957
"11",4.70551034640245e-09,3.13193417792237e-07,0.014801902221179,0.985197779879893
"12",1.51873811371487e-09,1.27857075794423e-07,0.0117389631906413,0.988260907433545
"13",2.93609345222678e-09,1.44610258473271e-07,0.0198994619704286,0.98010039048322
"14",1.25773584164889e-07,1.64669495473986e-06,0.0709594322689001,0.929038795262561
"15",7.88316739323792e-06,6.60719925677533e-05,0.106585996115621,0.893340048724418
"16",3.88556507176568e-06,8.72290909928343e-05,0.0426409011200783,0.957267984223857
"17",1.96908566068076e-05,3.22747242627516e-05,0.378901438808707,0.621046595610424
"18",2.24714188831594e-05,3.98599214238747e-05,0.360493101846007,0.639444566813686
"19",0.000155523373290101,0.000143434620389643,0.52006262291486,0.47963841909146
"20",0.00218419840669202,0.0011724538345109,0.648523187923348,0.348120159835449
"21",0.000625520804365138,0.00019350365376834,0.763113337239842,0.236067638302024
"22",0.000853100542318762,0.00111019170652386,0.433672397544719,0.564364310206438
"23",0.00191169959041807,0.000554241652494934,0.773329639152831,0.224204419604256
"24",0.00570015328819796,0.0127370236139012,0.303466120836393,0.678096702261508
"25",0.00381182592672897,0.0215000938680779,0.146782279839639,0.827905800365554
"26",0.00465988126313128,0.0378529297005137,0.104951343153814,0.852535845882541
"27",0.00135368390147978,0.0400571282515021,0.0313354576801663,0.927253730166852
"28",2.25355562159933e-08,9.72345738885392e-07,0.0226514800376194,0.977347525081086
"29",2.41266641868489e-07,9.69350880227859e-06,0.0242848211612792,0.975705244063277
"30",5.66348923295645e-07,3.81896162297721e-05,0.0146126401873824,0.985348603847464
