"","(1,R1)","(2,R1)","(3,R1)","(4,R1)","(5,R1)","(6,R1)"
"(1,R1)",NA,1e-09,0.0538227230093203,0.000724156053365479,NA,NA
"(2,R1)",0.000950934012152899,NA,0.0115944119121781,NA,0.00167368269536989,NA
"(3,R1)",0.10299946261203,0.0217613144234185,NA,NA,NA,0.00123603729029867
"(4,R1)",1e-09,NA,NA,NA,0.00266352307083563,0.0065602982570451
"(5,R1)",NA,0.00050865245852542,NA,0.00431977380485129,NA,0.00123980923811284
"(6,R1)",NA,NA,0.00197371447727334,0.00873105328935246,0.0133235266702299,NA
