"","(1,R1)","(2,R1)","(3,R1)","(4,R1)"
"1",6.39992159593961e-05,9.18957390332245e-06,0.511421280440307,0.48850553076983
"2",2.60314066234249e-05,2.93314928579104e-06,0.520949527854116,0.479021507589975
"3",0.00306331330955288,0.000998935269124407,0.487176157624002,0.508761593797321
"4",0.000100195345733932,4.18546210921494e-05,0.319612151528047,0.680245798505127
"5",4.87037760743677e-05,1.85075515977589e-05,0.28548058529112,0.714452203381208
"6",0.00037799089640488,0.00017097241103295,0.12479403739142,0.874656999301143
"7",4.73134866033463e-06,2.551237094213e-07,0.556708183058181,0.443286830469449
"8",0.000169638716348597,5.24959474743963e-05,0.462252583542541,0.537525281793637
"9",0.000660385336849422,0.000166282119247361,0.385029829466014,0.614143503077889
"10",0.000651352793240877,0.000347085010478398,0.143348933433746,0.855652628762535
"11",4.29497360168781e-07,5.18182978885526e-09,0.63853728278927,0.36146228253154
"12",1.91635141943591e-07,1.18893567704123e-09,0.635974541790867,0.364025265385056
"13",2.2690394032342e-07,1.83480690229562e-09,0.632329846121851,0.367669925139401
"14",1.87578679587822e-06,4.66390212217993e-08,0.625572349612619,0.374425727961564
"15",6.28889802822846e-05,8.7296785479669e-06,0.639868225847792,0.360060155493378
"16",9.8997540790885e-05,2.02015249639538e-05,0.90835844995806,0.0915223509761854
"17",3.14803960627649e-05,1.07232981223616e-05,0.5207785680903,0.479179228215515
"18",2.84975126076284e-05,3.86687496910497e-06,0.590199335886512,0.409768299725911
"19",0.000178085989342824,2.05661779296178e-05,0.60403324938473,0.395768098447998
"20",0.00284982077263764,0.000318032886510056,0.669203295787235,0.327628850553617
"21",0.000441859415054608,0.000162255729578816,0.623282306906152,0.376113577949214
"22",0.000719651270211938,0.000241693427157883,0.484872868060159,0.514165787242472
"23",0.000799326286546776,0.000370785136236001,0.224253297655927,0.77457659092129
"24",0.00864218915065319,0.00250301850569512,0.598606741940058,0.390248050403594
"25",0.0104673547790669,0.00373529844958073,0.751993271126645,0.233804075644708
"26",0.0218907288481515,0.00801949279287017,0.82302443349125,0.147065344867729
"27",0.0191105527219134,0.0062196136621337,0.907618274374812,0.0670515592411411
"28",1.31302234428819e-06,2.39185366526514e-08,0.635678709322261,0.364319953736858
"29",1.17010460452543e-05,6.42098628388765e-07,0.690555375730146,0.30943228112518
"30",4.97086464298154e-05,5.58391859360024e-06,0.963978823014337,0.0359658844206392
"31",2.46053248083864e-06,8.23148512796422e-08,0.706818936375542,0.293178520777126
"32",0.000120443478213888,2.50904503235648e-05,0.774830222856508,0.225024243214955
"33",2.52460224422997e-06,4.39638044054805e-08,0.970154107780593,0.0298433236533584
"34",4.79123682845654e-06,1.57815505795699e-07,0.697397822025501,0.302597228922165
"35",4.71851725632782e-05,1.44685690259708e-05,0.566678788295423,0.433259557962988
"36",1.29545161572591e-05,9.35614542552987e-07,0.699176957563722,0.300809152305579
"37",1.31134850147921e-06,1.40072182940685e-06,0.0447842078388314,0.955213080090838
"38",1.76150260142553e-05,1.05896595554044e-06,0.867585786686221,0.132395539321809
"39",1.9448133347606e-06,3.22849254547465e-08,0.921211131197445,0.0787868917042951
"40",2.13730857822796e-05,1.57576942007196e-06,0.975382959094682,0.0245940920501159
"41",1.46385241908659e-06,2.02764336713304e-08,0.91989827098916,0.0801002448819874
"42",2.12044986773088e-05,1.52874562815035e-06,0.965762196939203,0.034215069816492
"43",1.53206111867337e-05,1.59179261916818e-06,0.837430709419694,0.1625523781765
"44",3.20498558994121e-06,1.60138871605203e-07,0.592650621975351,0.407346012900187
"45",1.84731071209622e-05,3.20671162430148e-06,0.503860685717382,0.496117634463873
"46",2.59011930924737e-05,4.17982718991728e-06,0.410644557698294,0.589325361281424
"47",6.69098668617761e-06,4.91604850324222e-07,0.610594598865637,0.389398218542826
"48",9.07280431216554e-06,1.53569057002247e-06,0.482057770203015,0.517931621302102
"49",4.51484045589666e-05,8.0428473404589e-06,0.7327896204721,0.267157188276001
"50",9.65386316958382e-06,1.91899445840866e-06,0.280576068241614,0.719412358900758
"51",2.32874269225648e-06,1.03559436687411e-06,0.0703919517904246,0.929604683872516
"52",0.000140793788480177,7.18067947273272e-06,0.662298630971132,0.337553394560915
"53",0.00604468866018632,0.000723316040542872,0.704290648693047,0.288941346606224
"54",0.0240475604857694,0.00762140871125593,0.79755554103647,0.170775489766505
"55",0.0190976708480148,0.00592342609581042,0.715511422946195,0.25946748010998
"56",1.14587849909527e-05,7.61421461624557e-07,0.733487689336234,0.266500090457313
"57",6.02029680886922e-06,1.83201859603013e-06,0.564421603195481,0.435570544489114
"58",1.73662154660428e-06,3.65858178159038e-08,0.766793245531529,0.233204981261106
"59",1.52387493202827e-05,1.18480205185758e-06,0.772419518038302,0.227564058410325
"60",1.047430954845e-05,2.02638064202475e-06,0.658443875032969,0.341543624276841
"61",3.4109552947844e-06,1.14992850055056e-07,0.795983520016719,0.204012954035137
"62",1.3311933535309e-05,1.40880879462127e-06,0.734606921386909,0.265378357870761
"63",4.6180818022741e-06,1.30414984440499e-07,0.910656106249494,0.0893391452537191
"64",3.02157047801657e-06,7.51450333843857e-08,0.911415441232323,0.0885814620521658
"65",1.99690517789011e-06,2.45015589338104e-07,0.809993469001302,0.190004289077931
"66",1.31119827373996e-05,3.65365085394717e-07,0.634736938415393,0.365249584236784
"67",0.0124042709804659,0.00283740951415386,0.692043650266154,0.292714669239227
"68",1.31355216817753e-06,3.20559921936787e-08,0.62574877935382,0.374249875038019
"69",1.47968148097234e-06,1.85460472098301e-06,0.0332943458560412,0.966702319857757
"70",3.87403857855378e-08,1.62895686633321e-10,0.624565869436278,0.37543409166044
"71",7.21321279056822e-07,9.35927952936119e-09,0.619912626675443,0.380086642643998
"72",3.78427946316813e-05,1.49997397735174e-05,0.250035264006596,0.749911893458999
"73",3.39765360656456e-06,3.89212890113902e-08,0.626250505009713,0.373746058415392
"74",7.15287452451846e-07,1.20391007054371e-08,0.613401370526254,0.386597902147193
