"","(1,R1)","(2,R1)","(3,R1)","(4,R1)","(5,R1)","(6,R1)"
"1",0.00423411707122861,0.00118821987538514,0.00225072385831145,0.547581798229587,0.153667828524811,0.291077312440677
"2",0.00143152207428105,0.000293996834818745,0.000827814073137081,0.559216886981615,0.114848382503886,0.323381397532262
"3",0.00706182084945056,0.00101208506346785,0.00158616380367826,0.723970258279115,0.103757869311604,0.162611802692684
"4",0.000786387210011121,7.5147716410681e-05,0.000106871458883723,0.811256182875916,0.0775242129971936,0.110251197741585
"5",0.000537133615806585,4.74343274407667e-05,6.67355924469264e-05,0.824168378283511,0.0727823982178447,0.10239791996295
"6",0.00221052157522645,9.76551805566302e-05,0.000146359554836901,0.898375697362437,0.0396879369633069,0.0594818293636365
"7",6.97864444053377e-05,1.38589636260414e-05,6.41265238093554e-05,0.472187993067824,0.0937723117482671,0.433891923252068
"8",0.000289039379460935,0.000104157896624493,0.000125739945645152,0.556694286073724,0.200609709335989,0.242177067368557
"9",0.00117417390108823,0.000313857433820533,0.000321012834469032,0.647883445013809,0.173179658718679,0.177127852098133
"10",0.00281492195841475,0.00020586522809887,0.000215672708279562,0.866938465977397,0.0634022852792089,0.0664227888486011
"11",2.91166472308222e-07,7.50730832178192e-08,5.93262070293626e-07,0.303455653537622,0.0782416716813186,0.618301715279433
"12",5.3165063802053e-08,2.64144889578011e-08,1.10952353269596e-07,0.279034912211472,0.1386354888032,0.582329408453422
"13",5.31685377221201e-08,4.33390928863043e-08,1.04212737681659e-07,0.264888548696124,0.215917719544194,0.519193531039314
"14",7.98832028922827e-07,6.1260058519486e-07,1.21445420241898e-06,0.304213390405732,0.233292224446684,0.462491759260768
"15",2.64995953465344e-05,3.63398557355955e-05,3.40295113606034e-05,0.273534759638749,0.375108131801828,0.351260239596981
"16",3.10367065708937e-06,0.000107728511411173,8.33171358536678e-06,0.0260422907003925,0.903928773654521,0.069909771749433
"17",2.22299429662171e-05,3.80159222005889e-05,7.74749408198093e-06,0.326920624650789,0.559074265344696,0.113937116645266
"18",4.88136323905226e-05,1.68305781082313e-05,2.74395171441301e-05,0.524356833053744,0.180794343774533,0.29475573944408
"19",0.000257131172383612,5.81903458111844e-05,9.67124328057648e-05,0.623796230836277,0.141168875214874,0.234622859997848
"20",0.0027705642637971,0.000450793054233336,0.000792490373906788,0.687480904261638,0.111858663814014,0.196646584232411
"21",0.000766507649653131,9.90010367470754e-05,0.000215585292652202,0.708244609334815,0.0914758654090462,0.199198431277087
