"","(1,R1)","(2,R1)","(3,R1)","(4,R1)"
"1",1.3912928488863e-05,8.1483926087988e-05,0.145828720464155,0.854075882681268
"2",8.23842926008852e-06,3.51356282088566e-05,0.189930857445896,0.810025768496635
"3",0.0040687501939502,0.00242740947577913,0.622262867378456,0.371240972951814
"4",0.000416110044902938,0.000129311645855521,0.762498258696646,0.236956319612596
"5",0.000289546308634278,7.52353933060625e-05,0.79346273647893,0.20617248181913
"6",0.00188103839880569,0.000180942933823118,0.910366986857352,0.0875710318100197
"7",1.42862052801449e-06,4.75064929653332e-06,0.231194257694891,0.768799563035285
"8",0.000241491893473278,0.000125404507593605,0.657960367735167,0.341672735863766
"9",0.00113791695075623,0.000380638161112373,0.748203968544598,0.250277476343533
"10",0.00256893876097645,0.000254363400140808,0.907336772485973,0.0898399253529092
"11",7.52243717245346e-08,2.42733365708916e-07,0.236585995401694,0.763413686640568
"12",4.32893663076023e-08,8.61124648261259e-08,0.334534375028607,0.665465495569562
"13",6.96988580370098e-08,7.78753581037328e-08,0.472296919976747,0.527702932449037
"14",9.54048984241443e-07,8.18830458129349e-07,0.538134331092365,0.461863896028193
"15",4.93529339225562e-05,2.46149106720802e-05,0.667172115976298,0.332753916179108
"16",8.4731928843104e-05,6.39827602511081e-06,0.929705000966376,0.0702038688287562
"17",4.97144624699948e-05,2.25999357908451e-06,0.956467510519155,0.0434805150247956
"18",4.19230428090547e-05,2.04226664651392e-05,0.672386754040305,0.32755090025042
"19",0.000211812311247373,8.72000140881719e-05,0.708161365983935,0.291539621690729
"20",0.00246565042782366,0.00089133890023554,0.732017002589469,0.264626008082471
"21",0.000601212782870407,0.000217942389770176,0.733341272048631,0.265839572778729
"22",0.0016735063174828,0.000289968780732066,0.850645078728135,0.14739144617365
"23",0.00224215677212235,0.000224010121768844,0.906924525205595,0.0906093079005138
"24",0.0168736063168793,0.0015639486160085,0.898302314693188,0.0832601303739245
"25",0.0236113895208608,0.0017009797979868,0.909189061651434,0.0654985690297183
"26",0.0400303098110067,0.00248310300275014,0.901562170340419,0.0559244168458242
"27",0.0399085643941405,0.00150284100944224,0.923800925906997,0.0347876686894201
"28",5.82027551961539e-07,4.13033750993059e-07,0.584915694219295,0.415083310719402
"29",7.29566703112166e-06,2.6408384690742e-06,0.734221355540162,0.265768707954338
"30",3.74723809191412e-05,1.29017941391954e-06,0.96667836365174,0.0332828737879269
"31",1.4432405286619e-06,3.57796939037215e-07,0.801336982275787,0.198661216686745
"32",9.92168041931295e-05,1.57780590191468e-05,0.862694141278062,0.137190863858726
"33",1.4008807781477e-06,2.48773830249403e-08,0.982550069836753,0.0174485044050863
"34",3.34592148112426e-06,6.72318323881593e-07,0.832680028763118,0.167315952997077
"35",7.0350743750372e-05,5.07587964852888e-06,0.932634052293296,0.0672905210833046
