"","(1,R1)","(2,R1)","(3,R1)","(4,R1)","(5,R1)","(6,R1)"
"1",0.00259429200334734,0.00259429201905127,0.00228689445385878,0.953424765764226,0.0367985696558285,0.00230118610368787
"2",0.000405611998847478,0.000405612015296551,8.36285408542008e-05,0.996352666281727,0.00265388283869854,9.8598324575822e-05
"3",0.00173528892376623,0.00173528893790385,0.00013251283357346,0.995075566257547,0.00111426674069181,0.000207076306517901
"4",0.412209023662833,0.412209023676058,0.00522547097348778,0.159741492202286,0.0053779387022002,0.0052370507831349
"5",6.13673043159934e-05,6.13673047923753e-05,7.36009318993657e-06,0.999457671165676,0.000281961569509263,0.000130272562516764
"6",0.000361255060696012,0.000361255060841509,0.00034476010615436,0.979308216299485,0.000428629255745986,0.0191958842170769
"7",3.04906935584969e-05,3.04906937569012e-05,7.99768765530824e-06,0.999514064800959,0.000357767663173961,5.91884608965126e-05
"8",0.000304944404246009,0.00030494440430959,0.000297736259672654,0.98132994403234,0.0174482899628593,0.000314140936572335
"9",1.30467564391463e-05,1.30467737490014e-05,3.2178054599755e-06,0.998590856950147,0.00137616916282783,3.66255137644535e-06
"10",8.96272657800613e-05,8.96272699560168e-05,8.72560581075932e-05,0.986718351430341,0.0129277746239654,8.73633518494855e-05
"11",0.000276466736280477,0.000276466737485794,0.000275782328461477,0.870363442973518,0.128532027927322,0.00027581329693241
"12",0.000420018283616485,0.000420018283968083,0.000419818637916716,0.855207603750062,0.143112713372839,0.000419827671597919
"13",3.50821193269678e-08,3.51240517287313e-08,1.1340632501731e-07,0.999998231073397,1.56064855104569e-06,2.46655561987543e-08
"14",4.1744471383908e-09,5.77132640617359e-09,4.41807654794898e-09,0.999999972564005,8.9300991570611e-09,4.14204615709577e-09
"15",6.7746276432572e-09,6.87619293885297e-09,6.77510180601582e-09,0.999999961968454,1.08310585677856e-08,6.77456458297766e-09
"16",8.61794370863834e-08,1.3279623601926e-07,8.61794498190713e-08,0.999997607835985,2.00082945658027e-06,8.61794353930263e-08
"17",4.10091802795709e-06,4.10789712990941e-06,4.10091802986332e-06,0.999979201784355,4.38756443000439e-06,4.10091802770357e-06
"18",5.01753638894537e-06,5.01758271621917e-06,5.01753638895802e-06,0.999974910368969,5.01943914755862e-06,5.01753638894369e-06
"19",2.84190955728101e-06,2.84192901994723e-06,2.84190955728633e-06,0.999985789633378,2.84270892993422e-06,2.8419095572803e-06
"20",1.14000614837187e-05,3.67622592963124e-05,1.14000614868146e-05,0.998875958914658,0.00105307864159161,1.1400061483307e-05
"21",3.29967446508389e-06,5.97993447010512e-05,3.29967446548613e-06,0.999791658081988,0.000138643549915169,3.2996744650304e-06
"22",3.10284123122849e-05,0.000932736561619794,3.10284123125219e-05,0.998863404142521,0.00011077405892242,3.10284123122534e-05
"23",8.05538584302081e-06,9.330789724057e-05,8.05538584304322e-06,0.999866930961734,1.55949834963819e-05,8.05538584301783e-06
"24",0.000173272164811832,0.000173966139863513,0.000173272164811917,0.420506382136224,0.578799835229477,0.000173272164811821
"25",0.000272863416901771,0.000273182644414721,0.00027286341690181,0.421991256815381,0.576916970289499,0.000272863416901766
"26",3.19216777326948e-05,3.19281934826888e-05,3.19216777326956e-05,0.00397844029126462,0.995893866482055,3.19216777326947e-05
"27",2.36757978030098e-06,2.36785616326706e-06,2.36757978030101e-06,0.000169769723985108,0.999820759680511,2.36757978030097e-06
"28",8.04203441214396e-05,8.04204869244294e-05,8.04203441214396e-05,0.000166914555486381,0.999511403925225,8.04203441214396e-05
"29",8.20423530336161e-07,8.20426985159799e-07,8.20423530336161e-07,2.91297247807835e-06,0.999993805329946,8.20423530336161e-07
"30",4.75695650573006e-08,4.75753506172478e-08,4.7569570717393e-08,0.999999762097963,4.76179867727273e-08,4.75695643045485e-08
"31",5.22539442767774e-07,5.22539560028267e-07,5.22539442882492e-07,0.999997387301687,5.22540424168755e-07,5.22539442752518e-07
"32",2.12454000160527e-06,2.12454000183506e-06,2.1245400016055e-06,0.99998937729999,2.1245400035285e-06,2.12454000160524e-06
"33",6.88471949617022e-08,6.88471957077478e-08,6.88471949624321e-08,0.999999655764018,6.88472012056628e-08,6.88471949616051e-08
"34",6.50435053975855e-06,6.50435053981406e-06,6.5043505397586e-06,0.999967478247301,6.50435054022319e-06,6.50435053975854e-06
"35",7.36614144078866e-08,7.36614144078924e-08,7.36614144078866e-08,0.999999631692928,7.36614144079352e-08,7.36614144078866e-08
"36",1.8494935893059e-07,1.84949358962178e-07,1.84949358930621e-07,0.999999075253205,1.84949359194968e-07,1.84949358930586e-07
