"","(1,R1)","(2,R1)","(3,R1)"
"1",0.00815121808583819,0.939856886746117,0.0519918951680443
"2",0.00283798775986616,0.980650319213936,0.0165116930261983
"3",0.0117016487136275,0.972761708308984,0.0155366429773885
"4",0.986933028042753,0.011932414834385,0.00113455712286212
"5",0.00129545702471186,0.983164646015576,0.0155398969597118
"6",0.00241244934129337,0.937796585084518,0.0597909655741884
"7",0.000869235976131087,0.984067947221826,0.0150628168020433
"8",0.00202998339335493,0.942923011974874,0.0550470046317715
"9",0.000231642025439476,0.991232231789218,0.00853612618534243
"10",0.000801581764743014,0.963122454568101,0.0360759636671565
"11",0.00180425317028637,0.846540197583755,0.151655549245959
"12",0.00250616120239887,0.813330635986212,0.184163202811389
"13",2.66245381349023e-06,0.999973084203759,2.42533424278984e-05
"14",1.18294891000047e-07,0.999999620732398,2.60972710795679e-07
"15",1.1962368635048e-07,0.999999672427402,2.07948912194438e-07
"16",2.73431829570585e-06,0.999978283655049,1.89820266554199e-05
"17",6.234344707501e-05,0.999870489783485,6.71667694402503e-05
"18",7.55511348266397e-05,0.999848821765245,7.56270999281982e-05
"19",4.2827453872161e-05,0.999914312880585,4.28596655427626e-05
"20",0.000263765694010851,0.996534679933254,0.00320155437273542
"21",0.000432409848477405,0.998651942803444,0.000915647348078144
"22",0.00297138148116117,0.9962604426458,0.000768175873038774
"23",0.00066796892643778,0.999101714557412,0.000230316516150257
"24",0.00105164428302307,0.423670006849329,0.575278348867648
"25",0.00163367362890655,0.427259159432898,0.571107166938195
"26",0.000224021712605446,0.0103529429146737,0.989423035372721
"27",3.76473156933166e-05,0.00104212098939856,0.998920231694908
"28",0.00051273464661625,0.00102847208147853,0.998458793271905
"29",1.35449016454847e-05,4.36809020780618e-05,0.999942774196277
"30",7.66819250054129e-07,0.999998464166986,7.69013763670464e-07
"31",8.02778350137461e-06,0.999983944326927,8.02788957126345e-06
"32",3.18726402088784e-05,0.999936254719083,3.1872640708039e-05
"33",1.34397820174394e-06,0.999997312041647,1.34398015143313e-06
"34",9.65585425800969e-05,0.999806882914528,9.65585428917049e-05
"35",1.13703079174731e-06,0.999997725938417,1.13703079182687e-06
"36",3.12069696683757e-06,0.999993758605864,3.12069716948808e-06
"37",6.21335445026056e-05,0.99987573291099,6.21335445074186e-05
"38",1.12896626997534e-05,0.999977420674583,1.12896627175367e-05
"39",1.92559539067761e-05,0.999961488092186,1.92559539068805e-05
"40",1.06076546178208e-05,0.999978784690764,1.06076546183562e-05
"41",8.11755552589773e-07,0.999998376488895,8.11755552593566e-07
"42",1.09387045109491e-05,0.999978122590978,1.09387045109491e-05
"43",5.73725461871849e-07,0.999998852549076,5.73725461872078e-07
"44",1.08648137416865e-05,0.999978270372517,1.08648137416865e-05
"45",1.02863646604961e-05,0.999979427270679,1.02863646604961e-05
"46",2.27608861448395e-06,0.999995533158699,2.1907526862283e-06
"47",2.22462024813432e-05,0.999955513249456,2.22405480626303e-05
"48",5.96648979047533e-05,0.999880672074685,5.96630274103323e-05
"49",4.83633219418136e-06,0.999994330981155,8.32686651181706e-07
"50",9.99687620057567e-06,0.999980171164683,9.83195911607666e-06
"51",4.36954003351143e-05,0.999912613243947,4.36913557176589e-05
"52",2.67038680956375e-05,0.999946611493164,2.66846387401415e-05
"53",2.64042412708697e-05,0.99994719203467,2.64037240595567e-05
"54",0.000121619206831112,0.999875584489692,2.79630347715642e-06
"55",0.0068958064687437,0.993038633492443,6.55600388129595e-05
"56",0.0328569144409884,0.965794548735259,0.00134853682375256
"57",0.0246345085868001,0.974263948248024,0.00110154316517577
"58",8.54580564769491e-06,0.99998416639032,7.28780403205153e-06
"59",5.42624721428105e-06,0.999989150366561,5.42338622483599e-06
"60",8.56338267462335e-07,0.999998312309254,8.31352478565135e-07
"61",9.69874075780718e-06,0.999980604433308,9.69682593397433e-06
"62",8.51085907451144e-06,0.999982978315638,8.51082528784131e-06
"63",1.74726468908415e-06,0.999996505891965,1.74684334578412e-06
"64",1.02183253520521e-05,0.99997956338977,1.02182848780162e-05
"65",2.20462607759112e-06,0.999995590751346,2.2046225761766e-06
"66",1.2851168784671e-06,0.999997429766397,1.28511672425648e-06
"67",9.71971863067282e-07,0.999998056056275,9.71971861924312e-07
"68",9.47678156765014e-06,0.999989265870775,1.25734765703906e-06
"69",0.0161911290796211,0.982171521285589,0.00163734963479029
"70",1.06755796557626e-06,0.999998525041675,4.07400359064745e-07
"71",3.25891501848888e-05,0.999934823749285,3.25871005296503e-05
"72",1.81688733421844e-08,0.999999967100765,1.47303615357677e-08
"73",5.04202361264154e-07,0.999999210810301,2.84987337903133e-07
"74",0.000165077569589399,0.999669855857266,0.000165066573144838
"75",2.32255721008729e-06,0.999997421884712,2.55558077485528e-07
"76",4.60054944849729e-07,0.999999126714567,4.13230488026107e-07
"77",4.54484106804329e-05,0.999909122263499,4.54293258200056e-05
"78",8.56338367887091e-05,0.999828732788867,8.5633374344347e-05
"79",1.05881753969984e-05,0.999978837364857,1.0574459745896e-05
"80",0.0565334631164919,0.886933085156849,0.0565334517266588
"81",9.19703577159039e-07,0.999998161448996,9.18847426548125e-07
"82",4.38837557277316e-06,0.999991223573882,4.38805054565994e-06
"83",0.000122430751546981,0.999755138535964,0.000122430712489495
"84",0.000107481585769224,0.999785036844436,0.000107481569794503
"85",1.83100819516419e-05,0.999963379851624,1.83100664241794e-05
"86",1.68508923132815e-05,0.999966298215492,1.68508921952714e-05
