"","(1,R1)","(2,R1)","(3,R1)"
"1",0.00662981246346718,5.94403735438675e-05,0.993310747162989
"2",0.00247610687540542,1.31577846588847e-06,0.997522577346129
"3",0.0115674299009064,8.23900208171913e-08,0.988432487709073
"4",0.988271181673123,3.88054882176229e-06,0.0117249377780556
"5",0.000618748080344445,3.5170502389176e-07,0.999380900214632
"6",0.000197639339850745,1.51988831207207e-05,0.999787161777029
"7",0.000426635110079261,1.48638351862604e-07,0.999573216251569
"8",0.00224066476482157,2.0193765706062e-07,0.997759133297521
"9",0.000134688520185598,5.1320262243532e-08,0.999865260159552
"10",0.000461526894517915,9.90639608844496e-08,0.999538374041521
"11",0.00167113270015055,1.19427685023779e-07,0.998328747872164
"12",0.00304965663943248,2.83948947667394e-07,0.99695005941162
"13",2.70275326452784e-06,5.21944899198333e-08,0.999997245052246
"14",1.99250252813728e-07,2.73456220977487e-10,0.999999800476291
"15",1.83698373258239e-07,1.66387321286906e-10,0.999999816135239
"16",2.28066106448535e-06,1.33119108995981e-09,0.999997718007744
"17",8.88304882116269e-05,1.04101941158761e-07,0.999911065409847
"18",0.000109276319854753,2.22413077157885e-07,0.999890501267068
"19",6.23687816276206e-05,1.35910481058866e-07,0.999937495307891
"20",7.68676250053447e-05,5.00181852209422e-09,0.999923127373176
"21",0.000361444299711176,1.23183900358077e-08,0.999638543381899
"22",0.00373480405814215,1.28784966059353e-08,0.996265183063361
"23",0.000969081472244014,5.80927713265303e-07,0.999030337600043
"24",0.0020368176563896,2.70346983717478e-08,0.997963155308912
"25",0.00260199390800672,1.68709696120277e-07,0.997397837382297
"26",0.0177998472129675,1.60921067314947e-08,0.982200136694926
"27",0.0244713125225151,1.80475757527072e-08,0.975528669429909
"28",0.0414988788958581,3.42140802165348e-06,0.95849769969612
"29",0.0403018884754612,3.62494382258505e-08,0.959698075275101
"30",1.22365433520721e-06,1.17270054395165e-09,0.999998775172964
"31",1.203750567543e-05,1.37913302800991e-08,0.999987948702994
"32",4.65023171483572e-05,1.02442843546215e-07,0.999953395240008
"33",2.27932814174586e-06,1.84098282401563e-09,0.999997718830875
"34",0.000137628782861855,1.87806477396814e-07,0.999862183410661
"35",1.72666410283429e-06,3.36303913473022e-09,0.999998269972858
"36",4.96700106515081e-06,4.53231164234982e-09,0.999995028466623
"37",9.05815295058109e-05,1.59654261523392e-07,0.999909258816233
"38",1.72205756755979e-05,1.87552790835156e-08,0.999982760669045
"39",2.86806801620308e-05,5.25194214917102e-08,0.999971266800416
"40",1.60849538631829e-05,1.9833519476787e-08,0.999983895212617
"41",1.3262521542983e-06,1.30567134677477e-09,0.999998672442174
"42",1.66245445115549e-05,2.20410022678121e-08,0.999983353414486
"43",9.55515134742068e-07,7.88070594505756e-10,0.999999043696795
"44",1.65075432562942e-05,2.01246276854972e-08,0.999983472332116
"45",1.55698623428277e-05,1.73183597133506e-08,0.999984412819297
"46",3.81774720570558e-06,3.63486378142733e-09,0.999996178617931
"47",3.48414892948638e-05,3.3321780141055e-08,0.999965125188925
"48",8.74749720811898e-05,9.74305242354097e-08,0.999912427597395
"49",1.31532158080001e-05,1.21648687303912e-09,0.999986845567705
"50",1.60679996910063e-05,1.66234557531167e-08,0.999983915376853
"51",6.4500389979528e-05,1.04509713452103e-07,0.999935395100307
"52",4.02677556828405e-05,4.63940561661458e-08,0.999959685850261
"53",3.97056061899078e-05,5.71441974285176e-08,0.999960237249613
"54",0.000270759765484662,1.32143224145641e-09,0.999729238913083
