"","(1,R1)","(2,R1)"
"1",0.00802391852752663,0.991976081472473
"2",0.00278559393223048,0.99721440606777
"3",0.0109904574133128,0.989009542586687
"4",0.988563182218793,0.0114368177812068
"5",0.000845489552894728,0.999154510447105
"6",0.00249670740058494,0.997503292599415
"7",0.000522000218870814,0.999477999781129
"8",0.00207677919053638,0.997923220809464
"9",0.000128099880730178,0.99987190011927
"10",0.000374523962214281,0.999625476037786
"11",0.00148589888006127,0.998514101119939
"12",0.00273860692123971,0.99726139307876
"13",1.79864767329041e-06,0.999998201352327
"14",1.35857332840815e-07,0.999999864142667
"15",1.34389158408569e-07,0.999999865610842
"16",1.56874961079307e-06,0.999998431250389
"17",6.80812409614552e-05,0.999931918759039
"18",8.39082831537784e-05,0.999916091716846
"19",4.78470725605426e-05,0.999952152927439
"20",5.45849010097425e-05,0.99994541509899
"21",0.000268498206609854,0.99973150179339
"22",0.00316255872384346,0.996837441276156
"23",0.00074629183004908,0.999253708169951
"24",0.0018942653468917,0.998105734653108
"25",0.0023818341632964,0.997618165836704
"26",0.0185821225430001,0.981417877457
"27",0.0255504451071308,0.974449554892869
"28",0.04299691436705,0.95700308563295
"29",0.0418786825986831,0.958121317401317
"30",9.09823157779926e-07,0.999999090176842
"31",9.12742450939075e-06,0.999990872575491
"32",3.56955677670494e-05,0.999964304432233
"33",1.62172550335056e-06,0.999998378274497
"34",0.000106012392658357,0.999893987607342
"35",1.30943737293719e-06,0.999998690562627
"36",3.65960588140431e-06,0.999996340394119
"37",6.94618269224205e-05,0.999930538173078
"38",1.29651079785806e-05,0.999987034892021
"39",2.18810792974659e-05,0.999978118920703
"40",1.21574123789419e-05,0.999987842587621
"41",9.70184511871371e-07,0.999999029815488
"42",1.26102968064228e-05,0.999987389703194
"43",6.92306896720797e-07,0.999999307693103
"44",1.25183809319353e-05,0.999987481619068
"45",1.18102742266684e-05,0.999988189725773
"46",2.75289535785464e-06,0.999997247104642
"47",2.54504539395214e-05,0.99997454954606
"48",6.61385463497949e-05,0.99993386145365
"49",7.88560843908913e-06,0.999992114391561
"50",1.17653976771885e-05,0.999988234602323
"51",4.92688784782011e-05,0.999950731121522
