"","(1,R1)","(2,R1)","(3,R1)","(4,R1)","(5,R1)","(6,R1)"
"(1,R1)",NA,0.000586751696620803,0.000586751696620803,0.000586751696620803,0.000586751696620803,0.000586751696620803
"(2,R1)",0.000586751696620803,NA,0.000586751696620803,0.000586751696620803,0.000586751696620803,0.000586751696620803
"(3,R1)",0.000586751696620803,0.000586751696620803,NA,0.000586751696620803,0.000586751696620803,0.000586751696620803
"(4,R1)",0.000586751696620803,0.000586751696620803,0.000586751696620803,NA,0.000586751696620803,0.000586751696620803
"(5,R1)",0.000586751696620803,0.000586751696620803,0.000586751696620803,0.000586751696620803,NA,0.000586751696620803
"(6,R1)",0.000586751696620803,0.000586751696620803,0.000586751696620803,0.000586751696620803,0.000586751696620803,NA
