"","(1,R1)","(2,R1)","(3,R1)","(4,R1)"
"1",0.00401943562228607,0.000454749480508511,0.995073290490201,0.00045252440700435
"2",0.00108066232924682,2.27039662709108e-05,0.998876257785137,2.03759193454e-05
"3",0.00456216223261314,0.000213204859794251,0.995068968392475,0.000155664515117406
"4",0.971782410188484,0.0156258611480617,0.0120967940447985,0.000494934618655559
"5",6.77129206579411e-05,7.3380618389229e-06,0.999921564660717,3.38435678640715e-06
"6",2.72707416664607e-05,0.000559642127167034,0.999388250483146,2.4836648020543e-05
"7",3.20361882668526e-05,5.19309653098625e-06,0.999958550753997,4.21996120489427e-06
"8",0.000496168098254588,2.07447666014203e-05,0.999462380295515,2.07068396293539e-05
"9",1.96731284028168e-05,7.5176169043392e-07,0.999978862321311,7.12788595331273e-07
"10",4.60192890325039e-05,7.42073854924581e-06,0.999939140508914,7.41946350393764e-06
"11",0.000343689855675313,1.75973582707321e-05,0.999621115759874,1.75970261800813e-05
"12",0.000704009158957668,2.39542925370748e-05,0.999248082267302,2.39542812035808e-05
"13",5.93045671094255e-08,1.27367729212789e-07,0.999999781045744,3.22819595942758e-08
"14",1.21176279047645e-08,9.06439913919304e-09,0.999999970131285,8.6866883039629e-09
"15",1.42654199152221e-08,1.42212063808417e-08,0.999999955736009,1.57773648565539e-08
"16",1.55265678906203e-07,1.41764133795834e-07,0.999998985944432,7.17025755472583e-07
"17",1.61133066341523e-05,1.61093940422967e-05,0.999726089636175,0.000241687663148791
"18",3.79989802351385e-05,3.79989170594218e-05,0.966932344120415,0.0329916579822906
"19",5.83540896617584e-06,5.83539500401457e-06,0.99998168882052,6.64037551001651e-06
"20",5.07117084998907e-06,4.5162544517643e-07,0.999994020222089,4.56981615759363e-07
"21",4.56413955258597e-05,2.92890465728179e-06,0.999948499948548,2.92975126920124e-06
"22",0.00119317200037286,4.95848208784535e-05,0.998707657854909,4.95853238392243e-05
"23",0.00014683347930929,1.58304251035661e-05,0.999821505612867,1.58304827199843e-05
"24",0.000489468242768999,3.77406611369067e-06,0.999502983518217,3.77417290057366e-06
"25",0.000621524414697589,1.45848775737583e-05,0.999349305822414,1.458488531501e-05
"26",0.00997883813834973,4.6307274860033e-06,0.990011900404106,4.63073005783063e-06
"27",0.0139766944177186,4.14959794822399e-06,0.98601500638613,4.14959820309585e-06
"28",0.0241773978888177,0.00025065583569943,0.975321290439651,0.000250655835831605
"29",0.0235238162396834,6.28281083017096e-06,0.976463618138649,6.28281083790115e-06
"30",9.9880884092855e-08,9.9864582269283e-08,0.999999700366218,9.98883156755754e-08
