"","(1,R1)","(2,R1)","(3,R1)","(4,R1)","(5,R1)","(6,R1)"
"(1,R1)",NA,1e-09,1e-09,1e-09,0.000446087342749532,1e-09
"(2,R1)",0.0121220718607178,NA,1.51448954873401,0.00187736526817249,0.00133770668586655,1e-09
"(3,R1)",0.0744113371412509,100,NA,0.018374765673462,0.00917385928848724,1e-09
"(4,R1)",1e-09,1e-09,1e-09,NA,0.0318307833214432,0.0151742482349369
"(5,R1)",0.000134882193716865,0.000647047398016801,0.000753589567979268,0.00249211507784916,NA,1e-09
"(6,R1)",1e-09,1e-09,1e-09,0.0149543399835824,0.00802493773197129,NA
