"","(1,R1)","(2,R1)","(3,R1)"
"(1,R1)",NA,0.000580207545984073,0.000580207545984073
"(2,R1)",0.000580207545984073,NA,0.000580207545984073
"(3,R1)",0.000580207545984073,0.000580207545984073,NA
