"","(1,R1)","(2,R1)","(3,R1)","(4,R1)","(5,R1)","(6,R1)"
"1",0.000796957045386202,0.002413042453528,3.68453901714966e-05,0.0347905101208409,0.952308451327677,0.00965419366239645
"2",0.000172952082919208,0.00136237594065363,2.08393402396232e-05,0.0288290175928718,0.963311951160907,0.00630286388240922
"3",0.0028513115829672,0.0375907119069025,0.000575745233347852,0.0280691338160164,0.924457222433732,0.00645587502703404
"4",0.87374996941042,0.12106111928007,0.00184659884256872,2.86492048054901e-05,0.00330992011664617,3.74314548982339e-06
"5",5.79379627380602e-05,0.0153326142835765,0.000232542400528044,0.0422795905191638,0.932997200212933,0.00910011462106017
"6",2.30935957616979e-05,0.0572762565457736,0.000872952479918254,0.0269992067344479,0.908554193810769,0.00627429683332967
"7",3.92571880849494e-05,0.012869911224443,0.000195442978796504,0.0436475804058764,0.932798683569744,0.0104491246330552
"8",1.72111650692089e-05,0.0542069619297557,0.000826682084833907,0.0260449236088066,0.913041569826325,0.00586265138520934
"9",4.20196736416358e-06,0.000262127505518976,4.02449741054216e-06,0.0212121421571331,0.975231466993219,0.00328603687935447
"10",9.68431783551006e-06,0.00779425365266294,0.000119297388469123,0.0401150247464643,0.941613615408925,0.0103481244856432
"11",8.0482343684996e-06,0.0288484270255085,0.00044360420430036,0.0381821737840492,0.921658899030591,0.0108588477211828
"12",2.70341773233977e-05,0.0680204528889077,0.00103569574844845,0.025975792289375,0.899048948290699,0.00589207660524638
"13",1.29008250150908e-07,9.7920476587153e-06,1.53705676551503e-07,0.00800976132446554,0.991688124149537,0.000292039764412497
"14",8.12194690484971e-09,2.63718177999748e-06,4.36252596045265e-08,0.00804840462938209,0.991766505948674,0.000182400492957007
"15",1.01029256691917e-08,1.52434840473501e-05,2.46343952427357e-07,0.013620945349772,0.98588194641236,0.000481608306942339
"16",8.09568805457646e-08,0.000651170961342087,1.04595394007356e-05,0.023163271613145,0.974595121104942,0.00157989582428931
"17",7.80418760109063e-06,0.00168607920066644,2.60436179123418e-05,0.0609542109884078,0.923263158321799,0.0140627036836136
"18",4.19982592599371e-06,0.0100354966352551,0.000153037040639085,0.421454420378636,0.376161939493279,0.192190906626265
"19",1.71155637630931e-05,0.000255267789224937,3.90531608772332e-06,0.0242646448285819,0.970961676094231,0.00449739040811154
"20",1.06615762969939e-06,0.0173355098355626,0.000267800872539197,0.0202735113280978,0.960051007575701,0.0020711042304698
"21",0.000172411868143884,0.0156483627110048,0.000237756693409187,0.0252450380783194,0.955648466118076,0.00304796453104671
"22",0.00131838222629105,0.0262714617002731,0.000403585676707375,0.024032029758239,0.944351444336665,0.00362309630182469
"23",0.000336937520814035,0.00645591595166154,9.79997121904771e-05,0.0420086740852631,0.9430398495297,0.00806062320037128
"24",1.10163836113679e-06,0.333228019931384,0.00509703464626157,0.00948415289725323,0.651114376885574,0.00107531400116627
"25",9.60054524447182e-05,0.311479419262095,0.00471872474173971,0.0222590943741713,0.658464844355037,0.00298191181451223
"26",7.32745821052479e-08,0.91043782257238,0.0138991392530372,0.00060646951251305,0.0750019857780703,5.45096094171181e-05
"27",9.95082625026539e-08,0.962259812538877,0.014564113309953,0.000220176845446144,0.0229405819428147,1.52158546466029e-05
"28",0.000186495021838778,0.96567393802639,0.0146026902256324,0.00107860693344362,0.018346863444353,0.00011140634834188
"29",9.44252230506818e-08,0.982571591990983,0.0148486594013276,3.68191472936695e-05,0.00254089230055637,1.94273461650207e-06
"30",7.62613136995087e-08,1.9845521217869e-05,3.17740568528803e-07,0.0166857533969351,0.982435205685044,0.000858801394920364
"31",1.13065885076734e-06,0.000122908728914755,1.91406616016372e-06,0.0279787785409014,0.968661219663487,0.0032340483416864
"32",1.22281879655943e-05,0.000181458107562012,2.77828975994885e-06,0.0196646388754607,0.97724350305893,0.00289539348032138
"33",1.58004149553241e-07,4.22181255358923e-05,6.62384028273965e-07,0.03053997941392,0.96518970839893,0.00422727367343619
"34",1.87233355164041e-05,0.000815692782282526,1.25377728584803e-05,0.0411001753208968,0.947824819509421,0.0102280512790245
"35",4.00453087206166e-07,5.4287678619151e-06,8.45371372623646e-08,0.00178944574976712,0.998104945838811,9.96946533350734e-05
"36",3.16858717404121e-07,7.05120365315304e-05,1.12093404238939e-06,0.0320771221730872,0.962975457307913,0.00487547068970836
"37",1.87254091166883e-05,0.000467925149938336,7.15998354199797e-06,0.0322703306191453,0.960262772780458,0.00697308605779989
"38",1.51570834719568e-06,0.000185477389302366,2.88655253526775e-06,0.0351911258420962,0.958448532706844,0.00617046180087522
"39",6.22855250241387e-06,0.000131366754341263,2.01442893725658e-06,0.0173227066485814,0.980313942620483,0.00222374099515491
"40",1.88581681894148e-06,0.000171415637809453,2.64917755569554e-06,0.0397451728668774,0.953569259850266,0.00650961665067281
"41",1.12043977699343e-07,3.06380659213792e-05,4.8124703388304e-07,0.0463594056323669,0.94813115815474,0.00547820485595965
"42",2.17237764127623e-06,0.000101699751380152,1.56770023289147e-06,0.0203760609724656,0.976987171839041,0.00253132735923935
"43",4.66514982315535e-08,3.98824713801425e-05,6.51403288628046e-07,0.0531963123305993,0.940841846809646,0.00592126033358755
"44",1.80407523026912e-06,0.000110769385466111,1.71351722960999e-06,0.0268308921626078,0.969365855207223,0.00368896565224321
"45",7.5357953426657e-07,0.000778910852944012,1.21523556286472e-05,0.106342439484005,0.880007541190165,0.0128582025377235
"46",2.93754154187239e-07,5.71713399133446e-05,8.91423954600775e-07,0.0213774495239437,0.976776624719315,0.0017875692387192
"47",3.31994173060457e-06,0.000329544215934629,5.0882182819766e-06,0.037103999779465,0.955449599293593,0.00710844855099455
"48",9.312299913542e-06,0.000591265466310142,9.15954680128423e-06,0.0408836083657024,0.948683677680882,0.00982297664039072
"49",4.98679072602774e-07,0.000168003206127562,2.61787093752474e-06,0.0191005640163784,0.979199000855155,0.00152931537232863
"50",1.58004854022e-06,0.00019146722286034,2.9611058257034e-06,0.0295992852688979,0.966100237551301,0.00410446880257477
"51",1.21163931934875e-05,0.000359275243163934,5.50387863308707e-06,0.0290420747195233,0.965241527485055,0.00533950228043133
"52",4.36721706991604e-06,0.000334107445475567,5.16504594136758e-06,0.0334868313736194,0.960138093013487,0.00603143590440627
"53",6.40698004122881e-06,0.000241537403523671,3.70814607459736e-06,0.0258447768665658,0.969710617466604,0.00419295313719093
"54",1.48906073795266e-05,0.00139027808468915,2.21844870384341e-05,0.0181582010042858,0.978994893178478,0.00141955263812928
"55",0.00148931056160328,0.0261933652812106,0.00041131853738538,0.0190671201202031,0.951099775555337,0.00173910994426111
"56",0.0192647298584681,0.0838135467160948,0.00128205525622565,0.0183342588789923,0.874615321762839,0.00269008752738045
"57",0.0115036316476728,0.0698253358999568,0.00107000700244217,0.019673354619354,0.895172529723637,0.00275514110693675
