"","(1,R1)","(2,R1)","(3,R1)"
"(1,R1)",NA,0.000826029792773031,1e-09
"(2,R1)",0.000712395352783512,NA,0.000694081910649975
"(3,R1)",1e-09,0.0148788553566876,NA
