"","(1,R1)","(2,R1)","(3,R1)","(4,R1)"
"(1,R1)",NA,0.000398665188095166,0.000398665188095166,0.000398665188095166
"(2,R1)",0.000398665188095166,NA,0.000398665188095166,0.000398665188095166
"(3,R1)",0.000398665188095166,0.000398665188095166,NA,0.000398665188095166
"(4,R1)",0.000398665188095166,0.000398665188095166,0.000398665188095166,NA
