"","(1,R1)","(2,R1)","(3,R1)"
"1",0.000650190571316316,0.994543632436055,0.00480617699262831
"2",0.000131451409477154,0.996589365520756,0.00327918306976662
"3",0.00262467435892788,0.943062541624542,0.0543127840165302
"4",0.882414414006131,0.00339541965427257,0.114190166339596
"5",4.47104872129398e-05,0.97002651996246,0.0299287695503269
"6",1.93039064288548e-05,0.915380475856905,0.0846002202366658
"7",3.35458942913092e-05,0.973802449021209,0.0261640050844998
"8",1.44689738381471e-05,0.919053793865431,0.0809317371607306
"9",3.20077747941708e-06,0.999143161382207,0.000853637840313207
"10",7.76195515677403e-06,0.987909110099902,0.0120831279449408
"11",6.40745101826008e-06,0.958729437631523,0.0412641549174589
"12",2.01636346274826e-05,0.904728704578002,0.0952511317873704
"13",1.31387415749475e-07,0.99995987038439,3.99982281947326e-05
"14",7.7844614585499e-09,0.999992905384133,7.08683140525577e-06
"15",9.05113027321953e-09,0.999975190025529,2.48009233409338e-05
"16",7.49975466124835e-08,0.999242572323271,0.000757352679182484
"17",9.4497439131064e-06,0.998937002414495,0.0010535478415915
"18",2.05632866222289e-05,0.998977026569354,0.00100241014402396
"19",1.23500351437522e-05,0.999369762859138,0.000617887105717773
"20",7.63887851608714e-07,0.97063191449585,0.0293673216162982
"21",0.000161120685758696,0.973540139870989,0.0262987394432527
"22",0.00139346050179655,0.960587693602478,0.0380188458957252
"23",0.000304089791141754,0.988388339063246,0.0113075711456121
"24",7.52574521783726e-07,0.576968919539824,0.423030327885654
"25",6.38613172135102e-05,0.602208258662353,0.397727880020433
"26",5.11599335341683e-08,0.0606521890180502,0.939347759822016
"27",6.57539101424172e-08,0.0177205699192976,0.982279364326792
"28",0.000147525901068471,0.0176225642482024,0.982229909850729
"29",6.22343730044223e-08,0.00200760972256225,0.997992328043065
"30",6.71923509226891e-08,0.999967787839601,3.21449680479464e-05
"31",9.37700422072258e-07,0.999830448861623,0.000168613437954613
"32",9.00847391133287e-06,0.999513920522075,0.000477071004013987
