"","(1,R1)","(2,R1)","(3,R1)","(4,R1)"
"1",0.00701424790364883,6.35165982162411e-05,0.98334080918121,0.00958142631692514
"2",0.00258573472660565,1.42871270006523e-06,0.9911832693186,0.00622956724209397
"3",0.0116777973102443,8.79788931637701e-08,0.981253590469433,0.00706852424142909
"4",0.988138297125304,3.99715452867496e-06,0.0118326032911736,2.51024289938169e-05
"5",0.000626347512275432,3.8159503806929e-07,0.990381881819196,0.00899138907349031
"6",0.000202169338493309,1.63853543427756e-05,0.990204140345469,0.00957730496169453
"7",0.000436363141670141,1.60562076235339e-07,0.989602688106365,0.00996078818988897
"8",0.00235537405415986,2.14529992106075e-07,0.988780902629356,0.00886350878649241
"9",0.00014071104957622,5.5887133992882e-08,0.996472084258853,0.00338714880443679
"10",0.000491874020810089,1.04838555260897e-07,0.987583088161904,0.0119249329787306
"11",0.00179084893225738,1.25663093669055e-07,0.98478450429039,0.0134245211142585
"12",0.00323915957231428,3.04713912141684e-07,0.987018478124442,0.00974205758933102
"13",2.71691536627931e-06,5.45883793417138e-08,0.999766740928559,0.000230487567695038
"14",1.96694779404504e-07,2.86817845815143e-10,0.999899649438099,0.000100153580303487
"15",1.8277550215147e-07,1.72993168193339e-10,0.999660587557816,0.0003392294936884
"16",2.31139628459212e-06,1.38797881872915e-09,0.998561019382179,0.00143666783355745
"17",8.90034167274393e-05,1.08790716573258e-07,0.991688388529266,0.00822249926329039
"18",0.000106111346229839,2.26909414313262e-07,0.965338746789485,0.0345549149548708
"19",6.32982163282005e-05,1.45052442785737e-07,0.995549015205964,0.00438754152526522
"20",8.40474486953619e-05,5.24212831316434e-09,0.997111405611175,0.0028045416980009
"21",0.000366297018959413,1.30266493359137e-08,0.995762098554862,0.00387159139952922
"22",0.00374295798096806,1.34987851724607e-08,0.991798314527229,0.00445871399301755
"23",0.000976832072682266,6.17080669397705e-07,0.991058099175182,0.00796445167146628
"24",0.00236638259237158,2.84410158836641e-08,0.992808690231721,0.00482489873489153
"25",0.00290352482763006,1.87439023134702e-07,0.990262088563254,0.00683419917009268
"26",0.0203835331698759,1.69307941686559e-08,0.975675890456791,0.00394055944253883
"27",0.0277806530768429,1.92338528015847e-08,0.968749113951177,0.00347021373812708
"28",0.0457171234427271,3.67364898539989e-06,0.948300079335096,0.00597912357319128
"29",0.0447961651652726,3.91625609902779e-08,0.952805007458522,0.00239878821364452
"30",1.2227598372611e-06,1.22417814023058e-09,0.999300581046969,0.000698194969016054
"31",1.21508093834103e-05,1.45379616591422e-08,0.997268436369309,0.00271939828334645
"32",4.72711353643018e-05,1.09587038501471e-07,0.996712051893207,0.00324056738439023
"33",2.27090026660759e-06,1.92522099908354e-09,0.997016588355549,0.00298113881896397
"34",0.000140162931019124,1.99797428580123e-07,0.991106848173526,0.00875278909802612
"35",1.73637476408246e-06,3.55617651452753e-09,0.99981625755889,0.000182002510169644
"36",4.97669748177542e-06,4.74763608118108e-09,0.99671955896394,0.00327545959094251
"37",9.21850116981151e-05,1.70460669390243e-07,0.993516805404676,0.00639083912295684
"38",1.73684051223345e-05,1.9757486264602e-08,0.996097674541008,0.00388493729638384
"39",2.90852086202814e-05,5.5939092393222e-08,0.997487883074749,0.00248297577753857
"40",1.62502453965407e-05,2.09523193154742e-08,0.996845259504995,0.00313846929728905
"41",1.32458924218755e-06,1.36702795979316e-09,0.998213363025282,0.00178531101844746
"42",1.68189188343255e-05,2.33287006091398e-08,0.998090791194613,0.00189236655785241
"43",9.50572758498868e-07,8.21640852838712e-10,0.998148274191806,0.0018507744137943
"44",1.67000437050114e-05,2.12734242339878e-08,0.99788528800239,0.002097990680481
"45",1.55907855768268e-05,1.80946764614531e-08,0.995464393485978,0.00451999763376829
"46",3.80295669198759e-06,3.80353149130635e-09,0.998393760112527,0.00160243312724981
"47",3.51975780337786e-05,3.52937621729744e-08,0.993191785764196,0.00677298136400843
"48",8.87977731950758e-05,1.03327537209962e-07,0.990967736138912,0.00894336276035603
"49",1.27083592923994e-05,1.2701845964018e-09,0.998716598011166,0.00127069235935674
"50",1.61295791486839e-05,1.74859682829387e-08,0.996091758643491,0.00389209429139169
"51",6.55465967826877e-05,1.11328416740052e-07,0.994679177756204,0.00525516431859634
"52",4.07422972232556e-05,4.90548521324481e-08,0.994399680926275,0.00555952772164976
"53",4.02319279711952e-05,6.06359939720926e-08,0.995731911503504,0.00422779593253127
"54",0.000265194109340589,1.38165418401239e-09,0.998451286504853,0.00128351800415175
"55",0.0117077571323543,5.97503206185895e-09,0.98628404251488,0.00200819437773336
"56",0.0441475576240583,8.66784867479864e-08,0.952008397399198,0.00384395829825732
"57",0.0339770429537815,7.58058045303256e-08,0.962164265589796,0.0038586156506179
"58",1.47551738114913e-05,1.8631485070072e-08,0.998074347993182,0.00191087820152132
"59",8.32459860243651e-06,1.47903817573045e-08,0.999165575191157,0.0008260854198584
"60",1.48478316503607e-06,1.31803991895595e-09,0.998794129696919,0.00120438420187582
"61",1.49476619652481e-05,1.73375867011245e-08,0.997822504228913,0.00216253077153509
"62",1.31887207788507e-05,1.77047758386767e-08,0.998358295387778,0.00162849818666715
"63",2.80901674570238e-06,2.94144415360504e-09,0.998907470624501,0.00108971741730897
"64",1.57187541115237e-05,1.81687249391483e-08,0.998045310628279,0.00193895244888422
"65",3.47299658735505e-06,4.18354779392029e-09,0.999244471957303,0.000752050862561611
"66",2.05255867577593e-06,2.08914626119998e-09,0.999455114138624,0.00054283121355423
"67",1.52847692868102e-06,1.77305554621649e-09,0.999757187888806,0.000241281861209638
"68",1.56126451289142e-05,2.77157917933847e-10,0.999808154581108,0.000176232496605281
"69",0.0202084552871469,1.57614460161317e-07,0.974516111765506,0.00527527533288741
"70",1.96729000601978e-06,5.81350081622266e-10,0.999854855702114,0.000143176426530321
"71",4.78458764048655e-05,1.25436108234679e-07,0.997000069768876,0.00295195891861044
"72",3.41013246707781e-08,2.11964781211439e-11,0.999940567972448,5.93979050311427e-05
"73",9.95056410404546e-07,4.02908133524682e-10,0.999736667783045,0.000262336757636762
"74",0.000233086627724061,4.59881445080853e-07,0.981558860773681,0.0182075927171497
"75",4.59620425835873e-06,8.72669600671074e-11,0.999701660029456,0.0002937436790187
"76",8.36257372318503e-07,5.18328267527033e-10,0.99865381935881,0.00134534386548918
"77",6.60205737956634e-05,7.6585128982381e-08,0.99511609826105,0.0048178045800256
"78",0.000126011819304478,2.50382918488375e-07,0.991967614881913,0.00790612291586406
"79",1.33541276571062e-05,3.77002988125969e-08,0.997137969664133,0.00284863850791077
"80",0.053622432387521,0.000917622685684775,0.916200775068218,0.0292591698585761
"81",1.58328359977775e-06,1.18975929124145e-09,0.996700815409259,0.00329760011738169
"82",6.94814007383811e-06,6.00848471860217e-09,0.995355219672447,0.00463782617899399
"83",0.000170663851737682,2.64505670887998e-07,0.977736279872422,0.0220927917701696
"84",0.000156893226292161,2.81045784174893e-07,0.99016609836765,0.00967672736027331
