"","(1,R1)","(2,R1)","(3,R1)"
"1",0.00631717545884432,0.992655673702705,0.00102715083845037
"2",0.00182590135002265,0.998104399763732,6.96988862454592e-05
"3",0.00739747432117274,0.992228193236199,0.000374332442628718
"4",0.989801796876454,0.00960023585989944,0.000597967263646579
"5",0.000354368559318067,0.999631370747985,1.42606926969056e-05
"6",0.00146035859348427,0.998452016059781,8.76253467352761e-05
"7",0.000192705328732061,0.999789842501007,1.74521702606474e-05
"8",0.00121360366866082,0.998713098126504,7.3298204834846e-05
"9",5.51661432087236e-05,0.999941666328851,3.16752794001122e-06
"10",0.000163558123567504,0.999806106956653,3.03349197797432e-05
"11",0.000851661441281176,0.999082258978307,6.60795804120246e-05
"12",0.00166144845201146,0.998252951742369,8.55998056189929e-05
"13",6.73710849641516e-07,0.99999920607753,1.20211620786324e-07
"14",4.85887407178516e-08,0.999999919259916,3.21513432274908e-08
"15",5.33132121216842e-08,0.9999998854808,6.12059881976713e-08
"16",6.85001474452854e-07,0.999996725302643,2.5896958821971e-06
"17",5.67501495730383e-05,0.999378888038835,0.000564361811592203
"18",0.000130820905257058,0.950342513513286,0.0495266655814573
"19",2.09142315496537e-05,0.999955446016833,2.36397516173893e-05
"20",1.91080357790025e-05,0.999979026171102,1.86579311861501e-06
"21",0.000119300536426237,0.999869726722852,1.09727407220831e-05
"22",0.00199457900068755,0.997879891130177,0.000125529869135958
"23",0.000360786524912394,0.999582750787011,5.64626880770983e-05
"24",0.00114735762274799,0.998838355872063,1.42865051885316e-05
"25",0.00145212480476607,0.998495752971118,5.21222241159799e-05
"26",0.0155828758740838,0.984399871921989,1.72522039274123e-05
"27",0.0216285192480089,0.978355849544381,1.5631207609831e-05
"28",0.0369064278261148,0.962510491198619,0.000583080975266083
"29",0.0359384697490047,0.964039178742879,2.23515081161411e-05
"30",3.66535655102606e-07,0.999999266879398,3.6658494687928e-07
"31",3.85100335016692e-06,0.999992297991416,3.85100523337416e-06
"32",1.53656046424806e-05,0.999969268790708,1.53656046496125e-05
"33",5.97515836378144e-07,0.999998804968241,5.97515922559805e-07
"34",4.63923543930062e-05,0.999907215291203,4.6392354404216e-05
"35",5.4759575547669e-07,0.999998904808489,5.47595755478987e-07
"36",1.4550140112542e-06,0.999997089970163,1.45501582521731e-06
"37",2.99340191792517e-05,0.999940131961607,2.99340192136594e-05
"38",5.38287061565091e-06,0.999989234162544,5.38296684062325e-06
"39",9.29551422854799e-06,0.999981408971091,9.29551467999113e-06
"40",5.08287068011475e-06,0.9999898304425,5.08668681942629e-06
"41",3.80455473211495e-07,0.999999187241448,4.32303079079e-07
"42",5.29445913921412e-06,0.999989410300896,5.29523996485985e-06
"43",2.91035545261574e-07,0.999998638480787,1.07048366768301e-06
"44",5.25849263111613e-06,0.999989459828759,5.28167861008007e-06
"45",9.69080912605857e-06,0.999796280658858,0.000194028532015687
"46",1.07126252331524e-06,0.999997889229624,1.03950785315003e-06
"47",9.91304296034161e-06,0.999980175471329,9.91148571017033e-06
"48",2.78942686381388e-05,0.999944211897239,2.78938341223347e-05
"49",2.30518757464136e-06,0.999997311149762,3.83662663608122e-07
"50",4.66044848990471e-06,0.999990739957044,4.59959446630137e-06
"51",2.10514273041722e-05,0.999957898334752,2.10502379438573e-05
"52",1.26796117429029e-05,0.999974646457619,1.26739306380236e-05
"53",1.26750307417329e-05,0.999974650059996,1.26749092621507e-05
"54",7.43353703649547e-05,0.999924434720291,1.229909344526e-06
"55",0.0054098809086765,0.994558172630278,3.19464610459822e-05
"56",0.0259729204830965,0.973196918111975,0.000830161404928376
"57",0.0194448748899842,0.979880126293024,0.000674998816992172
"58",4.10890832130364e-06,0.999992391560672,3.49953100629908e-06
"59",2.62511373799028e-06,0.99999475087801,2.6240082518496e-06
"60",3.89428069903521e-07,0.999999230506747,3.80065182841558e-07
"61",4.66662347759543e-06,0.999990667323903,4.66605261928253e-06
"62",4.10402282234881e-06,0.999991791962337,4.1040148409463e-06
"63",8.2692339275562e-07,0.999998346275135,8.26801471914202e-07
"64",4.92638086499533e-06,0.999990147247659,4.92637147627257e-06
"65",1.05748806174104e-06,0.999997885024669,1.05748726895926e-06
"66",6.12647367345425e-07,0.999998774705293,6.12647339689043e-07
"67",4.71213102329673e-07,0.999999057573795,4.71213102167819e-07
"68",5.75345346302869e-06,0.999993651789234,5.94757302773569e-07
"69",0.0127715559507867,0.986220070243591,0.00100837380562202
"70",5.14536223267612e-07,0.99999929983729,1.85626486662914e-07
"71",1.57038603977595e-05,0.999968593105843,1.57030337588721e-05
"72",8.11576334145548e-09,0.999999984936668,6.94756827809786e-09
"73",2.26420201061247e-07,0.999999528979502,2.44600297226206e-07
"74",0.000151704327266787,0.998017239914286,0.0018310557584473
"75",1.04310203046427e-06,0.999998912664534,4.42334351806639e-08
"76",1.96405586314562e-07,0.999999596277305,2.07317108580375e-07
"77",2.16997645648496e-05,0.999956596667657,2.17035677776025e-05
"78",4.10924190599356e-05,0.999917815088129,4.1092492810703e-05
"79",6.51992716632052e-06,0.999983614758689,9.86531414426757e-06
"80",0.0453540304654771,0.909289048805884,0.0453569207286392
"81",5.50939495072231e-07,0.999994233353245,5.21570726016882e-06
"82",4.22082234730118e-06,0.999917592791711,7.81863859415201e-05
"83",0.000208216918750032,0.977234979810049,0.0225568032712008
"84",5.18692322826422e-05,0.999893350990365,5.4779777352777e-05
"85",8.78584042555648e-06,0.999982361644004,8.85251557008154e-06
"86",8.13062626105475e-06,0.999983738343658,8.13103008071683e-06
"87",1.77450505717896e-06,0.999996449906013,1.77558893018587e-06
"88",9.48733287744242e-06,0.99998102530158,9.48736554237074e-06
"89",8.89219007900487e-06,0.999982215496573,8.89231334834661e-06
"90",0.00157682906998469,0.998413281015879,9.88991413607954e-06
"91",0.000872520338679067,0.999110152810535,1.73268507859458e-05
"92",0.0306674031271668,0.967310827880615,0.0020217689922182
"93",8.59829313952455e-05,0.999902821331352,1.11957372523408e-05
"94",3.40804059885952e-05,0.999939492671088,2.64269229238819e-05
"95",0.0578859629815098,0.941829391737185,0.000284645281304836
"96",0.000275772373670856,0.999694438742394,2.97888839348341e-05
"97",0.912736748538898,0.0868450239303089,0.000418227530793398
"98",0.998878761421477,0.00110807914897915,1.31594295433971e-05
"99",0.999760037408061,0.000206277166764469,3.36854251740735e-05
"100",0.999957008726869,4.11449501958191e-05,1.84632293485305e-06
"101",0.999998171157139,1.42509850936108e-06,4.03744352101476e-07
"102",0.999991091903111,4.47283539251047e-06,4.4352614961586e-06
"103",0.999983981744549,8.00944649477411e-06,8.00880895588035e-06
"104",0.999981905248349,9.04783674155826e-06,9.04691490914941e-06
"105",0.999997015382708,1.5022909853143e-06,1.48232630656379e-06
"106",0.999988755219144,5.62245565420971e-06,5.62232520225785e-06
"107",0.999996679294027,1.66082216769751e-06,1.65988380511947e-06
"108",0.999985582712163,7.20868110407035e-06,7.20860673283568e-06
"109",0.999995884961679,2.05752030527501e-06,2.05751801620987e-06
"110",1.12168270388119e-07,0.999999775700164,1.12131565440386e-07
"111",7.93653165408894e-05,0.999841269368328,7.93653151310031e-05
"112",6.24958935141338e-09,0.99999998750093,6.2494810931457e-09
"113",2.95104888400835e-07,0.999999409794933,2.95100178854564e-07
"114",3.09893465212603e-06,0.999993804372131,3.09669321708352e-06
"115",3.99241995084397e-05,0.999920151668306,3.99241321858609e-05
"116",2.47742219191458e-06,0.999995084536844,2.43804096397314e-06
"117",3.21308092523633e-05,0.999935739921257,3.21292694902602e-05
"118",3.19635582364739e-06,0.999995765926051,1.03771812495067e-06
"119",0.000471025961125096,0.999494607021531,3.43670173439438e-05
"120",1.34189158028137e-06,0.999996042246984,2.61586143591473e-06
"121",1.20160861645449e-05,0.999975820172587,1.21637412485846e-05
"122",2.41522320610516e-05,0.999481747771186,0.000494099996752954
