"","(1,R1)","(2,R1)"
"1",0.00767326032791974,0.99232673967208
"2",0.00255373501575512,0.997446264984245
"3",0.00966160115914146,0.990338398840859
"4",0.000968753886865936,0.999031246113134
"5",0.000651560967289363,0.999348439032711
"6",0.00245489233743689,0.997545107662563
"7",0.000147821865817237,0.999852178134183
"8",0.000519073334083442,0.999480926665916
"9",0.00180930600740406,0.998190693992596
"10",0.00323683370542464,0.996763166294575
"11",9.59891152236282e-07,0.999999040108848
"12",1.90602247501207e-07,0.999999809397752
"13",2.00782877075806e-07,0.999999799217123
"14",2.62697144128913e-06,0.999997373028559
"15",9.68944896923908e-05,0.999903105510308
"16",0.000119195091510987,0.999880804908489
"17",6.80112037400309e-05,0.99993198879626
"18",9.31234481286541e-05,0.999906876551871
"19",0.000412175966802049,0.999587824033198
"20",0.00401462485258842,0.995985375147411
"21",0.00108141245812138,0.998918587541879
"22",0.00224071926827166,0.997759280731728
"23",0.00280412568045538,0.997195874319545
"24",0.0185074220157683,0.981492577984232
"25",0.0252797300626042,0.974720269937396
"26",0.0411008400219913,0.958899159978009
"27",1.32995329730486e-06,0.999998670046703
"28",1.30933986213286e-05,0.999986906601379
"29",5.06685015152936e-05,0.999949331498485
"30",2.527050356166e-06,0.999997472949644
"31",0.000149852843202415,0.999850147156798
"32",1.87870600703633e-06,0.999998121293993
"33",5.44150727343997e-06,0.999994558492727
"34",9.85841507690484e-05,0.999901415849231
"35",1.87510699898722e-05,0.99998124893001
"36",3.11856045890692e-05,0.999968814395411
"37",1.74951648250025e-05,0.999982504835175
"38",1.45176855984614e-06,0.99999854823144
"39",1.80255545499141e-05,0.99998197444545
"40",1.04812752897519e-06,0.999998951872471
"41",1.78949212038941e-05,0.999982105078796
"42",1.68831078490437e-05,0.999983116892151
"43",4.23555433581831e-06,0.999995764445664
"44",3.86220892815609e-05,0.999961377910718
"45",9.59123126950016e-05,0.999904087687305
"46",1.61723190832856e-05,0.999983827680917
"47",1.77247669553819e-05,0.999982275233045
"48",7.01553753037312e-05,0.999929844624696
"49",4.39448945051385e-05,0.999956055105495
"50",4.31916125413709e-05,0.999956808387459
"51",0.000320595166546889,0.999679404833453
"52",0.0133002399363082,0.986699760063692
"53",0.0471514160907387,0.952848583909261
"54",0.036535262247811,0.963464737752189
"55",1.65945270473958e-05,0.999983405472953
"56",8.94594561592465e-06,0.999991054054384
"57",1.66137602388343e-06,0.999998338623976
"58",1.6050335571248e-05,0.999983949664429
"59",1.41675570681988e-05,0.999985832442932
"60",3.05542675715659e-06,0.999996944573243
"61",1.68413679357162e-05,0.999983158632064
"62",3.75052533689648e-06,0.999996249474663
"63",2.22448695730404e-06,0.999997775513043
"64",1.65016240189955e-06,0.999998349837598
"65",1.74212577421752e-05,0.999982578742258
"66",0.0210694040738311,0.978930595926169
"67",2.26980819733136e-06,0.999997730191803
"68",5.13077348308938e-05,0.999948692265169
"69",3.95623759501417e-08,0.999999960437624
"70",1.19125179076535e-06,0.999998808748209
"71",0.000253951534706554,0.999746048465293
"72",5.49222673355011e-06,0.999994507773266
"73",9.60407880242363e-07,0.99999903959212
"74",7.08352339152642e-05,0.999929164766085
"75",0.00013499785385684,0.999865002146143
"76",1.78180704703488e-06,0.999998218192953
"77",7.71301376294765e-06,0.999992286986237
"78",0.000189519204994002,0.999810480795006
"79",0.000167955351618408,0.999832044648381
"80",3.00433668561539e-05,0.999969956633144
"81",2.74955854494073e-05,0.999972504414551
"82",7.09183608327373e-06,0.999992908163917
"83",3.21470349288046e-05,0.999967852965071
"84",3.03275865114347e-05,0.999969672413489
"85",0.00443825972197076,0.995561740278029
"86",0.00243767038790831,0.997562329612092
"87",0.000389603547982734,0.999610396452017
"88",0.00014518842311161,0.999854811576888
"89",0.0931882330707842,0.906811766929216
"90",0.000772167666375019,0.999227832333625
"91",0.89420521712189,0.105794782878109
"92",0.985363535097765,0.0146364649022347
"93",0.997330046930011,0.00266995306998944
"94",3.950597614694e-07,0.999999604940239
"95",0.000254190613491516,0.999745809386508
"96",2.35413004945769e-08,0.9999999764587
"97",1.07099168811484e-06,0.999998929008312
"98",1.11401718285609e-05,0.999988859828171
"99",0.000130773350060654,0.999869226649939
"100",9.21372290706118e-06,0.999990786277093
"101",0.00010587575647655,0.999894124243523
"102",1.1360311389702e-05,0.99998863968861
"103",0.00091615409552447,0.999083845904476
"104",5.17773865140209e-06,0.999994822261349
"105",4.03880354568292e-05,0.999959611964543
"106",4.16769208709265e-05,0.999958323079129
"107",4.02456070768206e-06,0.999995975439292
"108",0.000170810510643214,0.999829189489357
"109",5.40540338314338e-06,0.999994594596617
"110",0.000113583692761907,0.999886416307238
"111",5.78088367851988e-06,0.999994219116321
"112",0.000112744729720733,0.999887255270279
"113",1.22909332286324e-06,0.999998770906677
"114",7.04943330882495e-05,0.999929505666912
"115",4.32365978537126e-06,0.999995676340215
"116",1.06196380414459e-05,0.999989380361959
"117",2.20596928000173e-05,0.9999779403072
"118",3.68858289493322e-05,0.999963114171051
"119",3.86348086185717e-08,0.999999961365191
"120",3.43480734151658e-06,0.999996565192658
"121",1.8904510736261e-05,0.999981095489264
"122",9.70120028468707e-05,0.999902987997153
"123",9.02886964774119e-05,0.999909711303523
"124",1.16625306719e-06,0.999998833746933
"125",0.000144810126076068,0.999855189873924
"126",7.34630225506167e-07,0.999999265369775
"127",1.81345680185644e-05,0.999981865431981
"128",1.7519957890996e-05,0.999982480042109
"129",4.3057167537561e-05,0.999956942832463
"130",4.03612454900592e-05,0.99995963875451
"131",7.48734503211754e-06,0.999992512654968
"132",1.4256349652524e-05,0.999985743650347
"133",3.5052688490945e-06,0.999996494731151
"134",5.25570535302039e-05,0.99994744294647
"135",3.64354200113212e-05,0.999963564579989
"136",9.0362869815127e-06,0.999990963713019
"137",0.000427023916601555,0.999572976083398
"138",2.90903723835191e-08,0.999999970909628
"139",1.62492172288141e-06,0.999998375078277
"140",1.0206825471641e-05,0.999989793174528
"141",0.000119515168145405,0.999880484831855
"142",2.85534340082016e-06,0.999997144656599
"143",8.19549659248613e-05,0.999918045034075
"144",4.42463962391123e-06,0.999995575360376
"145",5.62115905030979e-05,0.999943788409497
"146",6.04971164312167e-06,0.999993950288357
"147",3.38435262675072e-05,0.999966156473732
"148",3.39229614341118e-05,0.999966077038566
"149",2.50311891080302e-06,0.999997496881089
"150",1.37376064568278e-05,0.999986262393543
"151",8.28243134371857e-05,0.999917175686563
"152",1.99635248562699e-05,0.999980036475144
"153",1.10058032706794e-05,0.999988994196729
"154",6.18651404534953e-06,0.999993813485955
"155",2.48628727507973e-05,0.999975137127249
"156",1.40755817404386e-05,0.99998592441826
"157",7.85508047429008e-06,0.999992144919526
"158",1.00573674258639e-06,0.999998994263257
"159",3.49548565744304e-05,0.999965045143426
"160",1.08261794796791e-05,0.99998917382052
"161",6.79596343191612e-05,0.999932040365681
"162",2.11560467538304e-06,0.999997884395325
"163",4.57785178428325e-06,0.999995422148216
"164",1.01192523056723e-06,0.99999898807477
"165",7.05681634845926e-06,0.999992943183652
"166",1.7678188242435e-06,0.999998232181176
"167",3.73011346740249e-05,0.999962698865326
"168",3.63633168071039e-06,0.999996363668319
"169",3.64550341255189e-06,0.999996354496587
"170",2.17799200369384e-06,0.999997822007996
"171",3.78451279027749e-06,0.99999621548721
"172",1.31608830247918e-06,0.999998683911698
"173",4.00324491134655e-06,0.999995996755089
"174",3.96552906021446e-06,0.99999603447094
"175",7.70619473211454e-06,0.999992293805268
"176",1.19951182624507e-06,0.999998800488174
"177",6.01615952230325e-06,0.999993983840478
"178",1.38716175964857e-05,0.999986128382404
"179",5.58301930674816e-07,0.999999441698069
"180",2.32966508242315e-05,0.999976703349176
"181",0.000251931819353137,0.999748068180647
"182",2.82286907535597e-07,0.999999717713092
"183",5.49593299671177e-07,0.9999994504067
"184",1.06093054314778e-05,0.999989390694568
"185",9.12187007006813e-07,0.999999087812993
"186",5.61331688432833e-06,0.999994386683116
"187",6.15776113852937e-06,0.999993842238862
"188",2.31809136053038e-07,0.999999768190864
"189",1.95729332247258e-06,0.999998042706677
"190",8.26171633306708e-06,0.999991738283667
"191",1.33870594827992e-06,0.999998661294052
"192",6.47806623764249e-06,0.999993521933762
"193",7.53463033579962e-06,0.999992465369664
"194",5.13409576985997e-07,0.999999486590423
"195",2.10534174028542e-05,0.999978946582597
"196",9.97778208023682e-05,0.999900222179198
"197",5.98500032397028e-06,0.999994014999676
"198",7.37325209659341e-05,0.999926267479034
"199",4.37759161814555e-06,0.999995622408382
"200",9.97655872043404e-07,0.999999002344128
"201",9.58161108545858e-05,0.999904183889145
"202",4.4282407654612e-05,0.999955717592345
"203",4.87836555804768e-06,0.999995121634442
"204",2.56705235585589e-05,0.999974329476441
"205",9.4851662430529e-05,0.999905148337569
"206",1.91108289533753e-05,0.999980889171047
"207",3.31403387476728e-06,0.999996685966125
"208",1.96245715789557e-06,0.999998037542842
"209",3.21823650785658e-05,0.999967817634921
"210",3.34816430100561e-05,0.99996651835699
"211",2.75345604038318e-05,0.999972465439596
"212",9.29335442773079e-06,0.999990706645572
"213",5.66569757206724e-05,0.999943343024279
"214",1.60477925265934e-05,0.999983952207473
"215",5.35161716034663e-05,0.999946483828397
