model,loglik,AIC,AICc,root_prior
wind_animal_ARD,-205.37696223242926,414.7539244648585,414.7644323457692,yang
wind_animal_ER,-205.62882191738308,413.25764383476616,413.26114339732084,yang
vert_insect_ARD,-137.28794593943206,278.5758918788641,278.588404913275,yang
vert_insect_ER,-150.412627881884,302.825255763768,302.82942243043465,yang
