model,loglik,AIC,AICc
allbiomes_corr,-1258.3185246449846,2552.637049289969,2553.2226657283254
allbiomes_uncorr,-1266.3592135364704,2548.718427072941,2548.8406681595284
trop_corr_eqwt,-910.0788752574987,1836.1577505149974,1836.2799916015847
trop_uncorr_eqwt,-913.7927930596165,1835.585586119233,1835.6194270667795
arid_corr_eqwt,-683.4323499011041,1382.8646998022082,1382.9869408887955
arid_uncorr_eqwt,-690.5517193601664,1389.1034387203329,1389.1372796678793
temp_corr_eqwt,-897.3586332891404,1810.7172665782807,1810.839507664868
temp_uncorr_eqwt,-900.9630433507599,1809.9260867015198,1809.9599276490662
